Time,Angle,Error,Deriv,Sum,Cmd,Headroom,DesiredAng,Kp,Kd,Ki
0.2092418670654297,17.551807403564453,2.448192596435547,0.025272369384765625,0.0,-0.0,34894.0,0,0,0,0
0.4190702438354492,17.514408111572266,2.4855918884277344,-0.020740509033203125,0.0,-0.0,34893.0,0,0,0,0
0.6295228004455566,17.540132522583008,2.459867477416992,-0.0098114013671875,0.0,-0.0,34894.0,0,0,0,0
0.8394651412963867,17.507080078125,2.492919921875,-0.029224395751953125,0.0,-0.0,34893.0,0,0,0,0
1.0493717193603516,17.49915313720703,2.5008468627929688,-0.02190399169921875,0.0,-0.0,34894.0,0,0,0,0
1.2592203617095947,17.439722061157227,2.5602779388427734,0.006641387939453125,0.0,-0.0,34893.0,0,0,0,0
1.4694254398345947,17.493667602539062,2.5063323974609375,-0.04065704345703125,0.0,-0.0,34893.0,0,0,0,0
1.6792991161346436,17.52419662475586,2.4758033752441406,0.2277984619140625,0.0,-0.0,34894.0,0,0,0,0
1.8897628784179688,17.422252655029297,2.577747344970703,0.279052734375,0.0,-0.0,34893.0,0,0,0,0
2.0992937088012695,17.483932495117188,2.5160675048828125,0.018877029418945312,0.0,-0.0,34892.0,0,0,0,0
2.308976411819458,17.43128204345703,2.5687179565429688,0.00662994384765625,0.0,-0.0,34894.0,0,0,0,0
2.5186562538146973,17.510133743286133,2.489866256713867,0.012226104736328125,0.0,-0.0,34893.0,0,0,0,0
2.7293541431427,17.497934341430664,2.502065658569336,0.026262283325195312,0.0,-0.0,34893.0,0,0,0,0
2.939302444458008,17.556114196777344,2.4438858032226562,-0.018434524536132812,0.0,3.25,34893.0,0,0,0,0
3.1495537757873535,17.74817657470703,2.2518234252929688,-0.05065345764160156,0.0,3.25,34890.0,0,0,0,0
3.359776496887207,18.053489685058594,1.9465103149414062,-0.059276580810546875,0.0,3.25,34891.0,0,0,0,0
3.569512367248535,18.38854217529297,1.6114578247070312,-0.08010292053222656,0.0,3.25,34890.0,0,0,0,0
3.779130697250366,18.84566307067871,1.154336929321289,0.1261138916015625,0.0,3.25,34890.0,0,0,0,0
3.989408493041992,19.38490104675293,0.6150989532470703,0.3778209686279297,0.0,3.25,34890.0,0,0,0,0
4.200210094451904,20.4027099609375,-0.4027099609375,-0.3757801055908203,0.0,3.25,34891.0,0,0,0,0
4.410336256027222,20.585798263549805,-0.5857982635498047,-0.039577484130859375,0.0,3.25,34892.0,0,0,0,0
4.619306802749634,20.974609375,-0.974609375,-0.06269264221191406,0.0,3.25,34891.0,0,0,0,0
4.8291335105896,21.525632858276367,-1.5256328582763672,-0.15598678588867188,0.0,3.25,34889.0,0,0,0,0
5.0391387939453125,22.09790802001953,-2.0979080200195312,-0.09391212463378906,0.0,3.25,34890.0,0,0,0,0
5.249309301376343,22.770587921142578,-2.770587921142578,-0.13311767578125,0.0,3.25,34890.0,0,0,0,0
5.459291458129883,23.290109634399414,-3.290109634399414,-0.07863426208496094,0.0,3.25,34891.0,0,0,0,0
5.669919013977051,23.86542510986328,-3.8654251098632812,-0.026241302490234375,0.0,3.25,34891.0,0,0,0,0
5.880153179168701,24.68333625793457,-4.68333625793457,-0.06814384460449219,0.0,3.25,34890.0,0,0,0,0
6.089191913604736,25.483566284179688,-5.4835662841796875,-0.3032188415527344,0.0,3.25,34891.0,0,0,0,0
6.299304246902466,26.465587615966797,-6.465587615966797,0.6357860565185547,0.0,3.25,34891.0,0,0,0,0
6.509077072143555,27.245155334472656,-7.245155334472656,1.1945075988769531,0.0,3.25,34892.0,0,0,0,0
6.719809293746948,28.31748390197754,-8.317483901977539,-0.19428443908691406,0.0,3.25,34891.0,0,0,0,0
6.9294703006744385,30.651321411132812,-10.651321411132812,-1.4239444732666016,0.0,3.25,34891.0,0,0,0,0
7.13942813873291,30.920135498046875,-10.920135498046875,-0.2753620147705078,0.0,3.25,34890.0,0,0,0,0
7.349979639053345,32.16120910644531,-12.161209106445312,-0.1949748992919922,0.0,3.25,34890.0,0,0,0,0
7.559345960617065,33.113834381103516,-13.113834381103516,-0.07409286499023438,0.0,-0.0,34890.0,0,0,0,0
7.769068479537964,33.33071517944336,-13.33071517944336,-0.033641815185546875,0.0,-0.0,34894.0,0,0,0,0
7.9793541431427,33.40254592895508,-13.402545928955078,-0.008472442626953125,0.0,-0.0,34894.0,0,0,0,0
8.18919038772583,33.42801284790039,-13.42801284790039,0.00424957275390625,0.0,-0.0,34894.0,0,0,0,0
8.398909568786621,33.449275970458984,-13.449275970458984,-0.0170135498046875,0.0,-0.0,34893.0,0,0,0,0
8.609026432037354,33.457794189453125,-13.457794189453125,-0.029781341552734375,0.0,-0.0,34893.0,0,0,0,0
8.818687915802002,33.449275970458984,-13.449275970458984,-0.07213211059570312,0.0,-0.0,34893.0,0,0,0,0
9.029219150543213,33.45353317260742,-13.453533172607422,0.02558135986328125,0.0,-0.0,34893.0,0,0,0,0
9.238429546356201,33.3729133605957,-13.372913360595703,1.8018722534179688,0.0,-0.0,34893.0,0,0,0,0
9.449397087097168,33.138641357421875,-13.138641357421875,2.5315475463867188,0.0,-0.0,34893.0,0,0,0,0
9.658973932266235,33.887699127197266,-13.887699127197266,-0.4299049377441406,0.0,-0.0,34894.0,0,0,0,0
9.868686437606812,33.457794189453125,-13.457794189453125,0.00852203369140625,0.0,-0.0,34893.0,0,0,0,0
10.079919815063477,33.68589401245117,-13.685894012451172,-0.21531295776367188,0.0,-0.0,34893.0,0,0,0,0
