Time,Angle,Error,Deriv,Sum,Cmd,Headroom,DesiredAng,Kp,Kd,Ki
0.20959019660949707,19.34442710876465,0.6555728912353516,0.35451316833496094,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
0.42212820053100586,19.65388298034668,0.3461170196533203,-0.27643585205078125,0.0,4.326462745666504,34891.0,0.0,12.5,0.0,0.0
0.6297550201416016,19.469972610473633,0.5300273895263672,-0.030988693237304688,0.0,5.0,34887.0,0.0,12.5,0.0,0.0
0.8392379283905029,19.386558532714844,0.6134414672851562,0.0074615478515625,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
1.0498039722442627,19.38075828552246,0.6192417144775391,-0.002483367919921875,0.0,5.0,34890.0,0.0,12.5,0.0,0.0
1.2603771686553955,19.37827491760254,0.6217250823974609,-0.0074462890625,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
1.4689314365386963,19.376619338989258,0.6233806610107422,-0.004962921142578125,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
1.6805002689361572,19.382415771484375,0.617584228515625,-0.0453948974609375,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
1.8892040252685547,19.27318572998047,0.7268142700195312,0.43532752990722656,0.0,5.0,34890.0,0.0,12.5,0.0,0.0
2.0997302532196045,19.760089874267578,0.23991012573242188,-0.3859539031982422,0.0,2.9988765716552734,34891.0,0.0,12.5,0.0,0.0
2.310175657272339,19.373310089111328,0.6266899108886719,0.0008258819580078125,0.0,5.0,34887.0,0.0,12.5,0.0,0.0
2.5197646617889404,19.379928588867188,0.6200714111328125,-0.0016536712646484375,0.0,5.0,34889.0,0.0,12.5,0.0,0.0
2.7294280529022217,19.3774471282959,0.6225528717041016,0.0,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
2.939352512359619,19.37910270690918,0.6208972930908203,-0.008274078369140625,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
3.1498122215270996,19.37910270690918,0.6208972930908203,-0.00165557861328125,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
3.359468460083008,19.34278106689453,0.6572189331054688,0.3570289611816406,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
3.5698893070220947,19.657339096069336,0.34266090393066406,-0.283203125,0.0,4.283261299133301,34890.0,0.0,12.5,0.0,0.0
3.77958345413208,19.42146110534668,0.5785388946533203,-0.0456695556640625,0.0,5.0,34888.0,0.0,12.5,0.0,0.0
3.988994598388672,19.3774471282959,0.6225528717041016,-0.00165557861328125,0.0,5.0,34890.0,0.0,12.5,0.0,0.0
4.200127601623535,19.376619338989258,0.6233806610107422,0.000827789306640625,0.0,5.0,34890.0,0.0,12.5,0.0,0.0
4.410692930221558,19.376619338989258,0.6233806610107422,-0.000827789306640625,0.0,5.0,34890.0,0.0,12.5,0.0,0.0
4.620237588882446,19.3774471282959,0.6225528717041016,-0.000827789306640625,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
4.829812049865723,19.372482299804688,0.6275177001953125,0.0066204071044921875,0.0,5.0,34890.0,0.0,12.5,0.0,0.0
5.0393431186676025,19.287046432495117,0.7129535675048828,0.37029266357421875,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
5.249910831451416,19.751319885253906,0.24868011474609375,-0.37552833557128906,0.0,3.108501434326172,34891.0,0.0,12.5,0.0,0.0
5.46048641204834,19.37910270690918,0.6208972930908203,-0.00165557861328125,0.0,5.0,34887.0,0.0,12.5,0.0,0.0
5.670039653778076,19.376619338989258,0.6233806610107422,0.004138946533203125,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
5.879746437072754,19.376619338989258,0.6233806610107422,0.0,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
6.089301109313965,19.375791549682617,0.6242084503173828,0.0,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
6.299700975418091,19.38075828552246,0.6192417144775391,-0.06754493713378906,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
6.509408235549927,19.328800201416016,0.6711997985839844,0.3945331573486328,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
6.719870328903198,19.697202682495117,0.3027973175048828,-0.32719993591308594,0.0,3.784966468811035,34891.0,0.0,12.5,0.0,0.0
6.929535865783691,19.376619338989258,0.6233806610107422,0.000827789306640625,0.0,5.0,34887.0,0.0,12.5,0.0,0.0
7.139949321746826,19.37910270690918,0.6208972930908203,-0.00165557861328125,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
7.350510835647583,19.375791549682617,0.6242084503173828,0.0,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
7.560059547424316,19.374963760375977,0.6250362396240234,0.002483367919921875,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
7.770620822906494,19.376619338989258,0.6233806610107422,0.0,0.0,5.0,34889.0,0.0,12.5,0.0,0.0
7.979316473007202,19.363393783569336,0.6366062164306641,0.1394023895263672,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
8.189778089523315,19.376619338989258,0.6233806610107422,0.2042713165283203,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
8.400301218032837,19.659931182861328,0.3400688171386719,-0.28413963317871094,0.0,4.250860214233398,34890.0,0.0,12.5,0.0,0.0
8.609879732131958,19.37827491760254,0.6217250823974609,-0.0033111572265625,0.0,5.0,34888.0,0.0,12.5,0.0,0.0
8.820417881011963,19.375791549682617,0.6242084503173828,-0.0041351318359375,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
9.02898621559143,19.376619338989258,0.6233806610107422,0.0,0.0,5.0,34891.0,0.0,12.5,0.0,0.0
